dataset,algo,embed,acc,config
PROMISE,CS-LR,TF-IDF,0.6924683510496233,CS-LR-TF-IDF
PROMISE,CS-LR,Word2Vec,0.4499439132524972,CS-LR-Word2Vec
PROMISE,CS-RF,BERT,0.5572565568078629,CS-RF-BERT
PROMISE,CS-RF,GloVe,0.5593130708829657,CS-RF-GloVe
PROMISE,CS-RF,MPNet,0.5851183163292559,CS-RF-MPNet
PROMISE,CS-RF,SBERT,0.5737674269536883,CS-RF-SBERT
PROMISE,CS-RF,TF-IDF,0.6232946957961648,CS-RF-TF-IDF
PROMISE,CS-RF,Word2Vec,0.456140163452807,CS-RF-Word2Vec
PROMISE,CS-SVM (Linear),BERT,0.72959777789648,CS-SVM (Linear)-BERT
PROMISE,CS-SVM (Linear),GloVe,0.7223652582661183,CS-SVM (Linear)-GloVe
PROMISE,CS-SVM (Linear),MPNet,0.8049516585652476,CS-SVM (Linear)-MPNet
PROMISE,CS-SVM (Linear),SBERT,0.7636664708081834,CS-SVM (Linear)-SBERT
PROMISE,CS-SVM (Linear),TF-IDF,0.758501148442925,CS-SVM (Linear)-TF-IDF
PROMISE,CS-SVM (Linear),Word2Vec,0.4561508466428076,CS-SVM (Linear)-Word2Vec
PROMISE,CS-SVM (RBF),BERT,0.7523369478126168,CS-SVM (RBF)-BERT
PROMISE,CS-SVM (RBF),GloVe,0.6336520485016826,CS-SVM (RBF)-GloVe
PROMISE,CS-SVM (RBF),MPNet,0.7822605630041131,CS-SVM (RBF)-MPNet
PROMISE,CS-SVM (RBF),SBERT,0.7543827786977191,CS-SVM (RBF)-SBERT
PROMISE,CS-SVM (RBF),TF-IDF,0.6047219699802361,CS-SVM (RBF)-TF-IDF
PROMISE,CS-SVM (RBF),Word2Vec,0.45820736071791035,CS-SVM (RBF)-Word2Vec
PROMISE,MetaCost,BERT,0.4262112066663105,MetaCost-BERT
PROMISE,MetaCost,GloVe,0.43757812082687886,MetaCost-GloVe
PROMISE,MetaCost,MPNet,0.44272207681213616,MetaCost-MPNet
PROMISE,MetaCost,SBERT,0.41276107045563803,MetaCost-SBERT
PROMISE,MetaCost,TF-IDF,0.5438598365471929,MetaCost-TF-IDF
PROMISE,MetaCost,Word2Vec,0.342620586507131,MetaCost-Word2Vec
