dataset,algo,embed,acc,config,fold
FNFC,NaiveBayes,SBERT,0.75,,3.0
FNFC,LinearSVM,SBERT,0.8994334277620396,,4.0
FNFC,SVM-RBF,SBERT,0.8909348441926346,,4.0
FNFC,DecisionTree,SBERT,0.8024079320113314,,4.0
FNFC,LogisticRegression,SBERT,0.8852691218130312,,4.0
FNFC,RandomForest,SBERT,0.8583569405099151,,4.0
FNFC,AdaBoost,SBERT,0.8541076487252125,,4.0
FNFC,NaiveBayes,SBERT,0.7351274787535411,,4.0
PROMISE,LinearSVM,SBERT,0.7525773195876289,,0.0
PROMISE,SVM-RBF,SBERT,0.7474226804123711,,0.0
PROMISE,DecisionTree,SBERT,0.4948453608247423,,0.0
PROMISE,LogisticRegression,SBERT,0.7216494845360825,,0.0
PROMISE,RandomForest,SBERT,0.5773195876288659,,0.0
PROMISE,AdaBoost,SBERT,0.4536082474226804,,0.0
PROMISE,NaiveBayes,SBERT,0.6804123711340206,,0.0
PROMISE,LinearSVM,SBERT,0.7680412371134021,,1.0
PROMISE,SVM-RBF,SBERT,0.711340206185567,,1.0
PROMISE,DecisionTree,SBERT,0.4381443298969072,,1.0
PROMISE,LogisticRegression,SBERT,0.6907216494845361,,1.0
PROMISE,RandomForest,SBERT,0.5618556701030928,,1.0
PROMISE,AdaBoost,SBERT,0.4536082474226804,,1.0
PROMISE,NaiveBayes,SBERT,0.7268041237113402,,1.0
PROMISE,LinearSVM,SBERT,0.7628865979381443,,2.0
PROMISE,SVM-RBF,SBERT,0.7319587628865979,,2.0
PROMISE,DecisionTree,SBERT,0.4948453608247423,,2.0
PROMISE,LogisticRegression,SBERT,0.7061855670103093,,2.0
PROMISE,RandomForest,SBERT,0.5979381443298969,,2.0
PROMISE,AdaBoost,SBERT,0.44329896907216493,,2.0
PROMISE,NaiveBayes,SBERT,0.7216494845360825,,2.0
PROMISE,LinearSVM,SBERT,0.7474226804123711,,3.0
PROMISE,SVM-RBF,SBERT,0.7422680412371134,,3.0
PROMISE,DecisionTree,SBERT,0.4587628865979381,,3.0
PROMISE,LogisticRegression,SBERT,0.6958762886597938,,3.0
PROMISE,RandomForest,SBERT,0.5927835051546392,,3.0
PROMISE,AdaBoost,SBERT,0.4639175257731959,,3.0
PROMISE,NaiveBayes,SBERT,0.6804123711340206,,3.0
PROMISE,LinearSVM,SBERT,0.7409326424870466,,4.0
PROMISE,SVM-RBF,SBERT,0.7357512953367875,,4.0
PROMISE,DecisionTree,SBERT,0.38860103626943004,,4.0
PROMISE,LogisticRegression,SBERT,0.6735751295336787,,4.0
PROMISE,RandomForest,SBERT,0.5751295336787565,,4.0
PROMISE,AdaBoost,SBERT,0.46113989637305697,,4.0
PROMISE,NaiveBayes,SBERT,0.694300518134715,,4.0
