dataset,algo,embed,fold,acc
FNFC,CS-RF,TF-IDF+GloVe,1,0.8597733711048159
FNFC,CS-RF,TF-IDF+BERT,1,0.8583569405099151
FNFC,CS-SVM (Linear),TF-IDF+MPNet,1,0.9036827195467422
FNFC,CS-DT,TF-IDF+BERT,1,0.8470254957507082
FNFC,CS-DT,TF-IDF+GloVe,1,0.8243626062322946
FNFC,CS-RF,TF-IDF+Word2Vec,1,0.8583569405099151
FNFC,CS-RF,TF-IDF+SBERT,1,0.8604815864022662
FNFC,CS-LR,TF-IDF+SBERT,1,0.9036827195467422
FNFC,CS-DT,TF-IDF+SBERT,1,0.8257790368271954
FNFC,CS-DT,TF-IDF+Word2Vec,1,0.8420679886685553
FNFC,CS-SVM (Linear),Word2Vec+GloVe,1,0.876770538243626
FNFC,CS-DT,Word2Vec+GloVe,1,0.7535410764872521
FNFC,CS-LR,TF-IDF+BERT,1,0.8739376770538244
FNFC,CS-LR,Word2Vec+GloVe,1,0.8569405099150141
FNFC,CS-DT,TF-IDF+MPNet,1,0.8271954674220963
FNFC,CS-RF,TF-IDF+MPNet,1,0.8590651558073654
FNFC,CS-LR,TF-IDF+MPNet,1,0.9022662889518414
FNFC,CS-DT,Word2Vec+BERT,1,0.7804532577903682
FNFC,CS-LR,Word2Vec+BERT,1,0.8541076487252125
FNFC,CS-LR,TF-IDF+GloVe,1,0.8930594900849859
FNFC,CS-SVM (Linear),Word2Vec+SBERT,1,0.8788951841359773
FNFC,CS-SVM (Linear),Word2Vec+BERT,1,0.8640226628895185
FNFC,CS-RF,Word2Vec+GloVe,1,0.8611898016997167
FNFC,CS-DT,Word2Vec+SBERT,1,0.7988668555240793
FNFC,CS-LR,Word2Vec+SBERT,1,0.873229461756374
FNFC,CS-LR,TF-IDF+Word2Vec,1,0.8923512747875354
FNFC,CS-RF,Word2Vec+BERT,1,0.8611898016997167
FNFC,CS-SVM (Linear),Word2Vec+MPNet,1,0.8951841359773371
FNFC,CS-LR,Word2Vec+MPNet,1,0.8753541076487252
FNFC,CS-SVM (Linear),GloVe+BERT,1,0.873229461756374
FNFC,CS-DT,Word2Vec+MPNet,1,0.7875354107648725
FNFC,CS-SVM (RBF),Word2Vec+GloVe,1,0.8682719546742209
FNFC,CS-RF,Word2Vec+SBERT,1,0.8590651558073654
FNFC,CS-SVM (RBF),Word2Vec+BERT,1,0.8951841359773371
FNFC,CS-LR,GloVe+BERT,1,0.8675637393767706
FNFC,CS-SVM (Linear),GloVe+SBERT,1,0.8930594900849859
FNFC,CS-DT,GloVe+BERT,1,0.7924929178470255
FNFC,CS-DT,GloVe+SBERT,1,0.7875354107648725
FNFC,CS-LR,GloVe+SBERT,1,0.8810198300283286
FNFC,CS-RF,Word2Vec+MPNet,1,0.8604815864022662
FNFC,CS-RF,GloVe+BERT,1,0.8604815864022662
FNFC,CS-SVM (RBF),Word2Vec+SBERT,1,0.8824362606232294
