dataset,algo,embed,acc,config,fold
PROMISE,DNN,SBERT,0.6649484536082474,,3.0
PROMISE,CNN,SBERT,0.6804123711340206,,3.0
PROMISE,LSTM,SBERT,0.6649484536082474,,3.0
PROMISE,GRU,SBERT,0.6804123711340206,,3.0
PROMISE,BiLSTM,SBERT,0.6804123711340206,,3.0
PROMISE,BiCNN,SBERT,0.7010309278350515,,3.0
PROMISE,DNN,SBERT,0.6476683937823834,,4.0
PROMISE,CNN,SBERT,0.6373056994818653,,4.0
PROMISE,LSTM,SBERT,0.6321243523316062,,4.0
PROMISE,GRU,SBERT,0.6580310880829016,,4.0
PROMISE,BiLSTM,SBERT,0.6787564766839378,,4.0
PROMISE,BiCNN,SBERT,0.7098445595854922,,4.0
