dataset,algo,embed,acc,config,fold
PROMISE,BiLSTM,SBERT,0.6237113402061856,,0.0
PROMISE,BiCNN,SBERT,0.6855670103092784,,0.0
PROMISE,DNN,SBERT,0.6855670103092784,,1.0
PROMISE,CNN,SBERT,0.6804123711340206,,1.0
PROMISE,LSTM,SBERT,0.6907216494845361,,1.0
PROMISE,GRU,SBERT,0.6907216494845361,,1.0
PROMISE,BiLSTM,SBERT,0.6907216494845361,,1.0
PROMISE,BiCNN,SBERT,0.6907216494845361,,1.0
PROMISE,DNN,SBERT,0.6752577319587629,,2.0
PROMISE,CNN,SBERT,0.6494845360824743,,2.0
PROMISE,LSTM,SBERT,0.6443298969072165,,2.0
PROMISE,GRU,SBERT,0.6288659793814433,,2.0
PROMISE,BiLSTM,SBERT,0.6597938144329897,,2.0
PROMISE,BiCNN,SBERT,0.6443298969072165,,2.0
PROMISE,DNN,SBERT,0.6237113402061856,,3.0
PROMISE,CNN,SBERT,0.654639175257732,,3.0
PROMISE,LSTM,SBERT,0.6082474226804123,,3.0
PROMISE,GRU,SBERT,0.6288659793814433,,3.0
PROMISE,BiLSTM,SBERT,0.6649484536082474,,3.0
PROMISE,BiCNN,SBERT,0.6649484536082474,,3.0
PROMISE,DNN,SBERT,0.6062176165803109,,4.0
PROMISE,CNN,SBERT,0.6010362694300518,,4.0
PROMISE,LSTM,SBERT,0.5699481865284974,,4.0
PROMISE,GRU,SBERT,0.5699481865284974,,4.0
PROMISE,BiLSTM,SBERT,0.6321243523316062,,4.0
PROMISE,BiCNN,SBERT,0.616580310880829,,4.0
