dataset,team,meta_clf,alpha,accuracy,macro_f1,weighted_f1
fnfc,Lexical_Semantic_Hybrid,logreg,0.0,87.02549575070822,10.505676184854451,82.68228186891771
fnfc,Lexical_Semantic_Hybrid,logreg,0.5,85.77903682719548,11.477309286650751,82.87958918912227
fnfc,Lexical_Semantic_Hybrid,rf,0.0,91.3314447592068,44.133312244485886,90.24176976450762
fnfc,Lexical_Semantic_Hybrid,rf,0.5,89.32011331444758,47.20131334528669,89.49974024997648
fnfc,Lexical_Semantic_Hybrid,svm,0.0,87.05382436260624,10.21383670267429,82.15924461099996
fnfc,Lexical_Semantic_Hybrid,svm,0.5,86.79886685552408,10.169788304798724,82.44122157740593
