accuracy,macro_f1,weighted_f1
90.5099150141643,44.290570317366964,89.75263171788154
91.28895184135978,51.34727985145096,90.782604682421
91.71388101983003,54.8071911401577,90.94095230228449
91.9971671388102,51.15469315491944,91.30336303161455
90.36827195467421,46.17090390557673,89.39968273432937
90.43909348441926,52.11640266721436,89.35298714285345
91.9971671388102,52.79160746030199,91.1518172189814
92.28045325779037,53.737877466127856,91.69567391832294
91.5014164305949,48.77968205026524,90.57600428932304
90.36827195467421,51.54201713299732,89.94389953708351
90.86402266288952,54.99757695951496,90.30549834196434
90.93484419263456,50.244986320832574,90.0948547144514
91.07648725212465,48.576028405897844,90.33820005838818
91.35977337110481,48.23622379785975,90.7895998641795
91.43059490084985,59.59840979528401,90.7170884326336
91.643059490085,57.22753726645047,90.88366551817118
90.86402266288952,42.637406768909116,89.81011365576042
91.0056657223796,54.90578871574464,90.23278530296419
91.35977337110481,52.884900171656334,90.76751461353783
91.07648725212465,57.61345491720308,90.67603312158187
91.21813031161473,58.98590455053333,90.64942815851256
91.35977337110481,54.727181665254264,90.80898502817101
91.71388101983003,52.272108713071475,90.82863699950812
91.07648725212465,47.18695860593584,89.89509220487265
90.15580736543909,49.394488941257,89.54668519136528
90.29745042492918,46.76226889038378,89.41356100471148
90.6515580736544,52.66213172536634,89.94579682205745
91.57223796033995,55.62231821023242,91.0433899298586
90.72237960339945,48.712507299398965,89.93692815371729
90.72237960339945,49.3243706081863,89.9459654930479
91.57223796033995,49.45462164193843,90.70147131255162
90.6515580736544,46.11729690472004,89.84880402277983
91.07648725212465,50.68005111039182,90.09920987506112
90.58073654390935,51.104627936467494,89.76742489723195
91.643059490085,52.77896633930573,90.96446994154721
91.5014164305949,49.75459781050582,90.65588061902336
90.86402266288952,49.492936589819955,89.75963407729762
90.5099150141643,46.4698872951725,89.47122439594438
91.14730878186968,55.0130799976827,90.63928993161376
91.35977337110481,48.74826024481136,90.60462490195393
91.07648725212465,52.25000050060452,90.44403854642297
91.07648725212465,48.550579501984615,90.13809763262176
91.21813031161473,51.675072003118,90.40170549997106
91.78470254957507,59.898690065424084,91.1292663870775
91.35977337110481,49.04297621541549,90.57584522168705
91.71388101983003,48.39763119637401,91.04369931788084
91.78470254957507,55.865441520247096,91.28216667843468
90.5099150141643,52.672031536001484,89.69730771014717
91.28895184135978,51.84832120626084,90.5612609574147
90.29745042492918,43.997465473962585,89.30214019375944
