dataset,preprocessing,accuracy,macro_f1,weighted_f1
fnfc,Cleaned,91.17563739376769,49.55412767389436,90.43584689370618
fnfc,Raw text,91.27478753541077,48.6622712043568,90.48455906848565
promise,Cleaned,81.94006730409698,66.47880061426633,80.95656927575929
promise,Raw text,82.6622509481331,67.04515999061599,81.63533231617497
