Embedding,FNFC_paper,FNFC_paper_model,FNFC_ours,FNFC_gain,PROMISE_paper,PROMISE_paper_model,PROMISE_ours,PROMISE_gain
TF-IDF,89.16,BiLSTM,91.17563739376769,2.0156373937676904,71.13,GRU,78.94610330644733,7.8161033064473315
Word2Vec,86.26,BiLSTM,84.57507082152975,-1.6849291784702558,47.42,LSTM,54.589498424229475,7.169498424229474
GloVe,90.74,GRU,85.12747875354107,-5.612521246458925,79.98,BiLSTM,70.59131456652958,-9.388685433470428
BERT,88.31,CNN,87.91784702549575,-0.39215297450425624,62.37,BiCNN,80.39314139201966,18.02314139201966
