accuracy,macro_f1,weighted_f1
82.4742268041237,62.26300920266438,81.16937986596713
82.9896907216495,73.62298441359641,81.35708456888237
81.44329896907216,65.84802975371724,80.16372381445566
80.9278350515464,63.40759454556625,80.76434206017457
81.86528497409327,67.25238515578737,81.32831606931671
84.02061855670104,73.20167148094367,83.43605827884741
82.9896907216495,66.50405704299148,81.97535029295211
81.44329896907216,64.056961333171,80.38445051327491
87.11340206185567,78.20802587106935,86.49644754866628
80.82901554404145,71.0723567589857,79.95380121859169
80.41237113402062,63.76505426041737,79.5425381100968
82.9896907216495,68.28263716570167,81.88596480008187
84.02061855670104,74.63407167339157,83.25820962570151
83.50515463917526,70.80337307092526,82.66087294824163
76.16580310880829,61.304978513223084,75.12372119220004
84.02061855670104,74.01518047795342,83.26139288199909
84.5360824742268,67.41042420866982,83.63474551211937
79.89690721649485,64.01109398922944,78.07778639128573
81.95876288659794,61.6285551589961,81.16328871833554
76.68393782383419,64.3310599380687,75.78348166914186
87.11340206185567,81.29598057530345,86.85150012258175
80.41237113402062,73.3340949638952,80.55360320308905
78.35051546391753,59.58985699941236,77.358347656593
81.95876288659794,68.78541507960067,80.8822251972176
82.90155440414507,66.87779017080092,82.44670484182436
86.08247422680412,76.25579586105901,85.54044496529578
81.44329896907216,73.02342738852964,81.21930238352014
79.38144329896907,60.24163891505642,77.94357561277216
84.5360824742268,74.46500179496734,83.75904636482352
80.82901554404145,65.95810862229,79.96182466997892
82.9896907216495,69.55314246494754,82.22595436719928
82.4742268041237,65.69244077308592,81.33059140541681
82.9896907216495,71.68662919236681,82.27768863733662
79.38144329896907,71.37914401597266,78.67921503795682
83.41968911917098,74.57082075827492,82.92221874709455
82.9896907216495,65.75640331890332,81.61375351452672
80.9278350515464,71.70416264106966,80.48250448013746
82.9896907216495,75.66768389416238,81.93412756951999
82.4742268041237,64.54250580337536,82.22361412679655
81.86528497409327,69.06778013160992,81.03658122399166
81.95876288659794,62.251714636052505,80.62920749662649
81.95876288659794,70.52442523880046,81.74248435622081
82.4742268041237,61.6446877501985,80.52738412544699
84.02061855670104,70.75792957042957,83.1392095876632
83.41968911917098,70.21615223356265,82.71672955605524
81.95876288659794,69.22415806541443,81.06833706592165
80.9278350515464,67.09227712495345,80.39003212579765
80.9278350515464,66.16863135453202,80.06509516120532
84.02061855670104,73.08502286057589,83.60163853209218
87.56476683937824,73.40002258800213,86.81995569006422
