dataset,feature,accuracy,macro_f1,weighted_f1
fnfc,TF-IDF,91.17563739376769,49.55412767389436,90.43584689370618
fnfc,SBERT,87.91784702549575,42.54447018684214,87.85332179401297
fnfc,Hybrid,91.44475920679888,49.962878923597756,90.83735665686842
promise,TF-IDF,78.94610330644733,62.43536045324663,77.76455619623523
promise,SBERT,80.39314139201966,68.86683335009242,80.04606935531297
promise,Hybrid,81.94006730409698,66.47880061426633,80.95656927575929
