alpha,accuracy,macro_f1,weighted_f1
0.0,81.83644036109182,66.2531335079747,80.79088491345496
0.2,81.93953314459698,66.43431784354303,80.93795173084865
0.3,82.04316008760216,66.76312103299534,81.07764655047808
0.4,82.04316008760216,66.76312103299534,81.07764655047808
0.5,81.94006730409698,66.47880061426633,80.95656927575929
0.6,81.94006730409698,66.45134429045311,80.96639191984545
0.8,82.04369424710218,67.04519977205123,81.17187892418572
1.0,82.24987981411249,67.53539339626579,81.44042545927118
