alpha,accuracy,macro_f1,weighted_f1
0.0,91.1898016997167,47.043079311553335,90.07930958585965
0.2,91.20396600566572,48.16986130934252,90.18665424875797
0.3,91.1473087818697,48.58087929512784,90.21353560034558
0.4,91.21813031161473,48.98111144404538,90.3365109550319
0.5,91.2039660056657,49.300638167731385,90.3928610287106
0.6,91.17563739376769,49.55412767389436,90.43584689370618
0.8,90.94900849858358,49.53722274541936,90.36580253551058
1.0,90.80736543909349,50.0702636387997,90.38527291822348
