dataset,weighting,alpha,accuracy,macro_f1,weighted_f1
fnfc,Uniform (alpha=0.0),0.0,91.1898016997167,47.043079311553335,90.07930958585965
fnfc,Tempered (alpha=opt),0.6,91.17563739376769,49.55412767389436,90.43584689370618
fnfc,Balanced (alpha=1.0),1.0,90.80736543909349,50.0702636387997,90.38527291822348
promise,Uniform (alpha=0.0),0.0,81.83644036109182,66.2531335079747,80.79088491345496
promise,Tempered (alpha=opt),0.5,81.94006730409698,66.47880061426633,80.95656927575929
promise,Balanced (alpha=1.0),1.0,82.24987981411249,67.53539339626579,81.44042545927118
