dataset,algo,embed,fold,acc
FNFC,CS-RF,Word2Vec+SBERT+MPNet,0,0.8611898016997167
FNFC,CS-SVM (RBF),Word2Vec+BERT+MPNet,0,0.8881019830028328
FNFC,CS-SVM (Linear),GloVe+BERT+SBERT,0,0.8647308781869688
FNFC,CS-LR,GloVe+BERT+SBERT,0,0.8618980169971672
FNFC,CS-SVM (RBF),TF-IDF+GloVe+BERT,0,0.8944759206798867
FNFC,CS-DT,GloVe+BERT+SBERT,0,0.7705382436260623
FNFC,CS-SVM (RBF),Word2Vec+SBERT+MPNet,0,0.8944759206798867
FNFC,CS-DT,GloVe+BERT+MPNet,0,0.7839943342776204
FNFC,CS-RF,GloVe+BERT+SBERT,0,0.8611898016997167
FNFC,CS-LR,GloVe+BERT+MPNet,0,0.8675637393767706
FNFC,CS-SVM (Linear),GloVe+BERT+MPNet,0,0.8711048158640227
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+SBERT,0,0.9029745042492918
FNFC,CS-SVM (RBF),GloVe+BERT+SBERT,0,0.8923512747875354
FNFC,CS-SVM (Linear),GloVe+SBERT+MPNet,0,0.8980169971671388
FNFC,CS-LR,GloVe+SBERT+MPNet,0,0.8838526912181303
FNFC,CS-LR,BERT+SBERT+MPNet,0,0.863314447592068
FNFC,CS-DT,GloVe+SBERT+MPNet,0,0.7861189801699717
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+MPNet,0,0.910056657223796
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+GloVe,0,0.8845609065155807
FNFC,CS-SVM (RBF),TF-IDF+BERT+SBERT,0,0.8916430594900849
FNFC,CS-SVM (Linear),BERT+SBERT+MPNet,0,0.8711048158640227
FNFC,CS-DT,BERT+SBERT+MPNet,0,0.7868271954674221
FNFC,CS-SVM (RBF),TF-IDF+GloVe+SBERT,0,0.9050991501416431
FNFC,CS-RF,GloVe+BERT+MPNet,0,0.8611898016997167
FNFC,CS-RF,GloVe+SBERT+MPNet,0,0.8618980169971672
FNFC,CS-SVM (RBF),GloVe+BERT+MPNet,0,0.8944759206798867
FNFC,CS-SVM (RBF),GloVe+SBERT+MPNet,0,0.9008498583569405
FNFC,CS-SVM (RBF),TF-IDF+GloVe+MPNet,0,0.9072237960339944
FNFC,CS-SVM (RBF),TF-IDF+BERT+MPNet,0,0.8916430594900849
FNFC,CS-RF,BERT+SBERT+MPNet,0,0.8618980169971672
FNFC,CS-SVM (RBF),BERT+SBERT+MPNet,0,0.8895184135977338
FNFC,CS-SVM (RBF),TF-IDF+SBERT+MPNet,0,0.9086402266288952
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+GloVe,1,0.9029745042492918
FNFC,CS-RF,TF-IDF+Word2Vec+BERT,1,0.8597733711048159
FNFC,CS-RF,TF-IDF+Word2Vec+GloVe,1,0.8597733711048159
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+SBERT,1,0.9058073654390935
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+BERT,1,0.8895184135977338
FNFC,CS-DT,TF-IDF+Word2Vec+BERT,1,0.8385269121813032
FNFC,CS-RF,TF-IDF+Word2Vec+SBERT,1,0.8583569405099151
FNFC,CS-SVM (Linear),TF-IDF+Word2Vec+MPNet,1,0.9065155807365439
FNFC,CS-DT,TF-IDF+Word2Vec+GloVe,1,0.8172804532577904
FNFC,CS-DT,TF-IDF+Word2Vec+SBERT,1,0.8371104815864022
FNFC,CS-SVM (Linear),TF-IDF+GloVe+BERT,1,0.8937677053824362
FNFC,CS-DT,TF-IDF+Word2Vec+MPNet,1,0.8236543909348442
FNFC,CS-SVM (Linear),TF-IDF+GloVe+SBERT,1,0.9072237960339944
FNFC,CS-RF,TF-IDF+Word2Vec+MPNet,1,0.8597733711048159
FNFC,CS-DT,TF-IDF+GloVe+BERT,1,0.8286118980169972
FNFC,CS-RF,TF-IDF+GloVe+BERT,1,0.8597733711048159
FNFC,CS-LR,TF-IDF+Word2Vec+BERT,1,0.876770538243626
FNFC,CS-RF,TF-IDF+GloVe+SBERT,1,0.8583569405099151
FNFC,CS-SVM (Linear),TF-IDF+GloVe+MPNet,1,0.9072237960339944
FNFC,CS-LR,TF-IDF+Word2Vec+MPNet,1,0.9043909348441926
FNFC,CS-LR,TF-IDF+Word2Vec+GloVe,1,0.8923512747875354
FNFC,CS-LR,TF-IDF+Word2Vec+SBERT,1,0.9022662889518414
FNFC,CS-RF,TF-IDF+GloVe+MPNet,1,0.8576487252124646
FNFC,CS-LR,TF-IDF+GloVe+BERT,1,0.8774787535410765
FNFC,CS-DT,TF-IDF+GloVe+SBERT,1,0.8201133144475921
FNFC,CS-DT,TF-IDF+GloVe+MPNet,1,0.8279036827195467
FNFC,CS-LR,TF-IDF+GloVe+SBERT,1,0.9029745042492918
FNFC,CS-SVM (Linear),TF-IDF+BERT+SBERT,1,0.8916430594900849
FNFC,CS-RF,TF-IDF+BERT+SBERT,1,0.8611898016997167
FNFC,CS-DT,TF-IDF+BERT+MPNet,1,0.8229461756373938
FNFC,CS-SVM (Linear),TF-IDF+BERT+MPNet,1,0.8930594900849859
FNFC,CS-DT,TF-IDF+BERT+SBERT,1,0.8250708215297451
FNFC,CS-SVM (Linear),TF-IDF+SBERT+MPNet,1,0.9072237960339944
FNFC,CS-LR,TF-IDF+BERT+SBERT,1,0.8788951841359773
FNFC,CS-LR,TF-IDF+GloVe+MPNet,1,0.9008498583569405
FNFC,CS-LR,TF-IDF+BERT+MPNet,1,0.8817280453257791
FNFC,CS-RF,TF-IDF+BERT+MPNet,1,0.8597733711048159
FNFC,CS-SVM (Linear),Word2Vec+GloVe+BERT,1,0.8746458923512748
FNFC,CS-RF,TF-IDF+SBERT+MPNet,1,0.8597733711048159
FNFC,CS-DT,Word2Vec+GloVe+BERT,1,0.7917847025495751
FNFC,CS-LR,TF-IDF+SBERT+MPNet,1,0.9043909348441926
FNFC,CS-LR,Word2Vec+GloVe+BERT,1,0.8689801699716714
FNFC,CS-DT,TF-IDF+SBERT+MPNet,1,0.8264872521246459
FNFC,CS-SVM (Linear),Word2Vec+GloVe+SBERT,1,0.8923512747875354
FNFC,CS-DT,Word2Vec+GloVe+SBERT,1,0.7754957507082153
FNFC,CS-RF,Word2Vec+GloVe+BERT,1,0.8604815864022662
FNFC,CS-LR,Word2Vec+GloVe+SBERT,1,0.8831444759206799
FNFC,CS-SVM (RBF),Word2Vec+GloVe+BERT,1,0.9001416430594901
FNFC,CS-RF,Word2Vec+GloVe+SBERT,1,0.8583569405099151
FNFC,CS-DT,Word2Vec+GloVe+MPNet,1,0.7825779036827195
FNFC,CS-SVM (Linear),Word2Vec+GloVe+MPNet,1,0.8951841359773371
FNFC,CS-LR,Word2Vec+GloVe+MPNet,1,0.8817280453257791
FNFC,CS-SVM (RBF),Word2Vec+GloVe+SBERT,1,0.8909348441926346
FNFC,CS-DT,Word2Vec+BERT+SBERT,1,0.7839943342776204
FNFC,CS-SVM (Linear),Word2Vec+BERT+SBERT,1,0.8689801699716714
FNFC,CS-RF,Word2Vec+GloVe+MPNet,1,0.8604815864022662
FNFC,CS-LR,Word2Vec+BERT+SBERT,1,0.8611898016997167
FNFC,CS-RF,Word2Vec+BERT+SBERT,1,0.8604815864022662
FNFC,CS-DT,Word2Vec+BERT+MPNet,1,0.7875354107648725
FNFC,CS-SVM (RBF),Word2Vec+BERT+SBERT,1,0.8951841359773371
FNFC,CS-SVM (Linear),Word2Vec+BERT+MPNet,1,0.8774787535410765
FNFC,CS-LR,Word2Vec+BERT+MPNet,1,0.8711048158640227
FNFC,CS-SVM (Linear),Word2Vec+SBERT+MPNet,1,0.8930594900849859
FNFC,CS-SVM (RBF),Word2Vec+GloVe+MPNet,1,0.8888101983002833
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+BERT,1,0.896600566572238
FNFC,CS-DT,Word2Vec+SBERT+MPNet,1,0.7953257790368272
FNFC,CS-LR,Word2Vec+SBERT+MPNet,1,0.8824362606232294
FNFC,CS-RF,Word2Vec+BERT+MPNet,1,0.8597733711048159
FNFC,CS-SVM (RBF),TF-IDF+GloVe+BERT,1,0.8994334277620396
FNFC,CS-SVM (RBF),TF-IDF+GloVe+SBERT,1,0.8994334277620396
FNFC,CS-DT,GloVe+BERT+SBERT,1,0.7747875354107648
FNFC,CS-SVM (Linear),GloVe+BERT+SBERT,1,0.873229461756374
FNFC,CS-SVM (RBF),Word2Vec+BERT+MPNet,1,0.8987252124645893
FNFC,CS-LR,GloVe+BERT+SBERT,1,0.8725212464589235
FNFC,CS-RF,Word2Vec+SBERT+MPNet,1,0.8604815864022662
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+GloVe,1,0.886685552407932
FNFC,CS-DT,GloVe+BERT+MPNet,1,0.7839943342776204
FNFC,CS-SVM (RBF),TF-IDF+Word2Vec+SBERT,1,0.9001416430594901
FNFC,CS-LR,GloVe+BERT+MPNet,1,0.873229461756374
FNFC,CS-RF,GloVe+BERT+SBERT,1,0.8604815864022662
FNFC,CS-SVM (Linear),GloVe+BERT+MPNet,1,0.8774787535410765
FNFC,CS-LR,GloVe+SBERT+MPNet,1,0.8895184135977338
FNFC,CS-SVM (RBF),GloVe+BERT+SBERT,1,0.8994334277620396
FNFC,CS-SVM (RBF),Word2Vec+SBERT+MPNet,1,0.8937677053824362
FNFC,CS-DT,GloVe+SBERT+MPNet,1,0.7903682719546742
